,root,model,Season_RA,D,Season_Period,AR,Season_MA,MA,Season_D,test_aic,test_bic,test_rmse,train_bic,train_aic,train_hqic,test_hqic,train_rmse
137,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_1_Season_Period_6_AR_6_Season_MA_6_Season_D_1_MA_1,4,1,6,6,6,1,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
138,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_1_Season_Period_6_AR_6_Season_MA_6_Season_D_1_MA_5,4,1,6,6,6,5,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
139,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_0_Season_Period_0_AR_3_Season_MA_3_Season_D_1_MA_3,5,0,0,3,3,3,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
140,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_0_Season_Period_12_AR_4_Season_MA_0_Season_D_0_MA_6,4,0,12,4,0,6,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
141,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_0_Season_Period_12_AR_3_Season_MA_6_Season_D_0_MA_3,4,0,12,3,6,3,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
142,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_0_Season_Period_12_AR_0_Season_MA_1_Season_D_1_MA_4,4,0,12,0,1,4,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
143,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_0_Season_Period_0_AR_3_Season_MA_6_Season_D_0_MA_0,5,0,0,3,6,0,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
144,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_0_Season_Period_0_AR_6_Season_MA_5_Season_D_1_MA_0,4,0,0,6,5,0,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
145,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_0_Season_Period_0_AR_6_Season_MA_0_Season_D_0_MA_5,4,0,0,6,0,5,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
146,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_0_Season_Period_0_AR_5_Season_MA_4_Season_D_1_MA_5,4,0,0,5,4,5,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
147,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_0_Season_Period_0_AR_4_Season_MA_5_Season_D_0_MA_0,4,0,0,4,5,0,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
148,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_1_Season_Period_2_AR_3_Season_MA_1_Season_D_0_MA_3,3,1,2,3,1,3,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
149,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_1_Season_Period_0_AR_3_Season_MA_3_Season_D_1_MA_5,5,1,0,3,3,5,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
150,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_1_Season_Period_0_AR_0_Season_MA_6_Season_D_0_MA_2,5,1,0,0,6,2,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
151,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_0_Season_Period_6_AR_0_Season_MA_1_Season_D_1_MA_4,5,0,6,0,1,4,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
152,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_0_Season_Period_12_AR_5_Season_MA_1_Season_D_0_MA_5,5,0,12,5,1,5,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
153,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_1_Season_Period_6_AR_3_Season_MA_0_Season_D_1_MA_2,3,1,6,3,0,2,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
154,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_1_Season_Period_0_AR_5_Season_MA_1_Season_D_1_MA_1,5,1,0,5,1,1,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
155,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_0_Season_Period_12_AR_4_Season_MA_5_Season_D_0_MA_2,5,0,12,4,5,2,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
156,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_0_Season_Period_0_AR_4_Season_MA_6_Season_D_0_MA_6,5,0,0,4,6,6,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
157,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_0_Season_Period_0_AR_4_Season_MA_4_Season_D_1_MA_4,5,0,0,4,4,4,1,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
158,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_1_Season_Period_6_AR_6_Season_MA_0_Season_D_0_MA_4,3,1,6,6,0,4,0,10.0,10.0,10.0,100000.0,100000.0,100000.0,10.0,100000.0
